Date,Sector,Index_Ticker,HHI
2005-01-31,Consumer Staples,S5CONS Index,0.11499463449110978
2005-02-28,Consumer Staples,S5CONS Index,0.11610275347404242
2005-03-31,Consumer Staples,S5CONS Index,0.1165540576841153
2005-04-29,Consumer Staples,S5CONS Index,0.12093514081350208
2005-05-31,Consumer Staples,S5CONS Index,0.11965168319311698
2005-06-30,Consumer Staples,S5CONS Index,0.11685812765704787
2005-07-29,Consumer Staples,S5CONS Index,0.11876113298446768
2005-08-31,Consumer Staples,S5CONS Index,0.12215892086526664
2005-09-30,Consumer Staples,S5CONS Index,0.12642971655404336
2005-10-31,Consumer Staples,S5CONS Index,0.125749408076968
2005-11-30,Consumer Staples,S5CONS Index,0.12434593221374611
2005-12-30,Consumer Staples,S5CONS Index,0.1251321217455879
2006-01-31,Consumer Staples,S5CONS Index,0.1380954441082652
2006-02-28,Consumer Staples,S5CONS Index,0.13796356929457076
2006-03-31,Consumer Staples,S5CONS Index,0.133178288422956
2006-04-28,Consumer Staples,S5CONS Index,0.1335331142895498
2006-05-31,Consumer Staples,S5CONS Index,0.12730264668455302
2006-06-30,Consumer Staples,S5CONS Index,0.12969823453442755
2006-07-31,Consumer Staples,S5CONS Index,0.13352219878384305
2006-08-31,Consumer Staples,S5CONS Index,0.13725938988232017
2006-09-29,Consumer Staples,S5CONS Index,0.131640032300785
2006-10-31,Consumer Staples,S5CONS Index,0.13336117950185886
2006-11-30,Consumer Staples,S5CONS Index,0.13447573105048422
2006-12-29,Consumer Staples,S5CONS Index,0.1359050789382068
2007-01-31,Consumer Staples,S5CONS Index,0.13476796536092933
2007-02-28,Consumer Staples,S5CONS Index,0.1333233565171219
2007-03-30,Consumer Staples,S5CONS Index,0.13326236182559092
2007-04-30,Consumer Staples,S5CONS Index,0.126864095098341
2007-05-31,Consumer Staples,S5CONS Index,0.12628811740200038
2007-06-29,Consumer Staples,S5CONS Index,0.12431932186887834
2007-07-31,Consumer Staples,S5CONS Index,0.12728330219450568
2007-08-31,Consumer Staples,S5CONS Index,0.12955398741165397
2007-09-28,Consumer Staples,S5CONS Index,0.13231502829888936
2007-10-31,Consumer Staples,S5CONS Index,0.13168815757846153
2007-11-30,Consumer Staples,S5CONS Index,0.13694579752484323
2007-12-31,Consumer Staples,S5CONS Index,0.1377584654609472
2008-01-31,Consumer Staples,S5CONS Index,0.135023818974126
2008-02-29,Consumer Staples,S5CONS Index,0.13439476152781468
2008-03-31,Consumer Staples,S5CONS Index,0.12433736161870193
2008-04-30,Consumer Staples,S5CONS Index,0.11943653480664125
2008-05-30,Consumer Staples,S5CONS Index,0.11579610476394614
2008-06-30,Consumer Staples,S5CONS Index,0.11641031391370836
2008-07-31,Consumer Staples,S5CONS Index,0.12083192582094308
2008-08-29,Consumer Staples,S5CONS Index,0.12284084082520236
2008-09-30,Consumer Staples,S5CONS Index,0.12539852617951996
2008-10-31,Consumer Staples,S5CONS Index,0.12923390629347986
2008-11-28,Consumer Staples,S5CONS Index,0.1324247275467195
2008-12-31,Consumer Staples,S5CONS Index,0.1272165381699578
2009-01-30,Consumer Staples,S5CONS Index,0.12123517643672282
2009-02-27,Consumer Staples,S5CONS Index,0.11793459580811917
2009-03-31,Consumer Staples,S5CONS Index,0.11480450683896164
2009-04-30,Consumer Staples,S5CONS Index,0.11425044671587088
2009-05-29,Consumer Staples,S5CONS Index,0.1157384573745559
2009-06-30,Consumer Staples,S5CONS Index,0.1147096456780305
2009-07-31,Consumer Staples,S5CONS Index,0.11538430864340275
2009-08-31,Consumer Staples,S5CONS Index,0.111795606592963
2009-09-30,Consumer Staples,S5CONS Index,0.11671528076856366
2009-10-30,Consumer Staples,S5CONS Index,0.11469354438847265
2009-11-30,Consumer Staples,S5CONS Index,0.11629785283085713
2009-12-31,Consumer Staples,S5CONS Index,0.11356662294351774
2010-01-29,Consumer Staples,S5CONS Index,0.11280948081935471
