"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,71086,725,---,20,20,---,1446,---,---,---,---,---,---,---,---,---,---,343,223957,1484,---,---,---,---,14315,---,1060,540,718,125,299,---,---,---,---,---,---,55,---,---,---,---,---,1,---,---,---,0,6,---,2,1,871,24,1151,---,171,---,---,---,---,---,348,50,2958,23,11,-326,---,2847,---,324330,68270,---,---,---,---,5119,35812,-37570,---,---,---,---,---,---,---,---,---,---,---,---,71631,395961
113FF,"Forestry, fishing, and related activities",26771,7023,---,86,---,---,---,11857,0,---,---,---,---,---,---,---,78,265,7243,---,59,2657,18,---,308,1627,---,---,584,---,1,---,---,---,---,---,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,299,18,1,---,64,---,---,---,---,---,147,327,3346,81,---,74,12,3895,---,66846,5663,---,---,---,---,740,6353,-16047,---,---,---,---,---,---,---,---,---,---,---,---,-3290,63556
211,Oil and gas extraction,---,---,12375,1,1,16111,---,0,0,8,0,---,---,---,0,---,---,---,0,---,---,1,0,267618,7716,0,1,1,0,0,1,---,---,---,---,---,17,---,2,2,0,1,3,---,---,---,---,---,230,---,---,0,2,3,0,2,121,2,1,2,1,0,5,1,3,3,---,0,1821,---,17084,323143,---,---,---,---,---,7399,14890,-143304,---,---,---,---,---,---,---,---,---,---,---,---,-121016,202127
212,"Mining, except oil and gas",1362,1,62,7501,98,7190,12222,13,8666,9990,562,120,8,72,79,119,14,154,1308,63,---,1663,---,1985,5242,143,17,---,---,---,2,---,98,0,5,1,---,2,3,37,20,250,235,---,---,---,---,2,---,---,---,---,760,35,466,55,347,---,50,31,31,192,514,88,584,711,---,2890,---,2084,4917,73061,331,---,276,---,---,884,14038,-5826,---,---,---,---,---,---,---,---,---,---,---,---,9704,82765
213,Support activities for mining,---,---,15427,1468,3427,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,26,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,20351,---,128801,2817,---,---,-2,4510,-1327,---,---,---,---,---,---,---,---,---,---,---,---,134798,155149
22,Utilities,7845,143,3646,4882,651,23427,8965,2093,3783,7302,4829,2446,1815,822,3457,2021,638,1193,7531,1039,48,5829,1246,4245,14050,4996,16093,4461,9486,8085,16485,209,81,175,2558,188,876,1330,7226,960,472,4279,1671,3259,1135,506,2730,233,58753,1607,629,416,4716,6968,2748,873,6656,3570,8790,3269,1136,880,2928,6623,20867,6273,3261,1324,2210,19075,2713,367726,262496,---,---,---,---,---,3743,-2670,---,---,---,---,---,---,---,---,---,---,---,---,263569,631295
23,Construction,1614,43,1501,3315,3859,7650,277,228,588,791,949,622,326,127,559,332,101,280,1033,77,5,776,208,7220,1617,565,2408,867,627,1200,2420,270,2229,59,458,302,867,1610,784,100,73,2203,256,5068,1356,485,242,71275,50763,490,132,40,1010,553,516,70,1214,468,869,405,316,193,385,1610,1445,3140,8102,1250,788,29309,47086,279980,---,430819,---,---,480709,---,98,---,---,7104,---,---,---,13310,---,---,---,278150,---,---,1210192,1490171
321,Wood products,338,46,---,71,176,1,36641,20238,283,312,135,923,330,260,3557,398,5816,1064,252,45,0,3862,2,---,195,1354,3175,110,421,103,665,---,1919,---,107,---,3,84,106,65,59,702,710,74,4,---,---,9,7170,251,11,19,656,3,639,18,32,185,236,3,826,4,119,419,536,293,20,58,3,2398,189,98708,5285,456,---,---,4272,1474,5192,-18056,---,---,---,---,---,---,120,---,---,---,---,---,-1256,97451
327,Nonmetallic mineral products,3,69,410,276,882,104,56071,682,13433,2400,1311,1800,315,1552,6836,321,299,1023,4890,34,---,494,1,715,1927,1714,246,142,50,255,467,---,10,---,53,0,1,36,62,5,1,2519,506,43,54,13,---,17,148,418,5,160,3357,55,908,117,99,1451,1466,135,230,10,108,71,1498,1048,57,520,---,1334,1953,117191,11945,---,---,---,---,1166,8514,-24581,---,---,---,---,---,---,---,---,---,---,---,---,-2956,114234
