Input_Sector,Communication,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Materials,Real Estate,Technology,Utilities
Communication,0.0,0.020241418239110746,0.00560262831997753,0.007227615965480043,0.043283952801556946,0.012361688084792483,0.01647142070917525,0.004844614640099312,0.017878789487562004,0.07722463432112296,0.006474852947881994
Consumer Discretionary,0.20198941950698726,0.0,0.05011298882027756,0.013953198904655215,0.11094968493542197,0.11591855750725184,0.15787290724478156,0.0490458055421129,0.08732876409306244,0.0834409892608563,0.04950070676211755
Consumer Staples,0.0016492184138821168,0.0857865942163832,0.0,0.003194755621940088,0.008143704832804823,0.018208642310828124,0.015305186466441282,0.09720264270835526,0.0008273120939755752,0.007225551772789375,0.0007204413843417993
Energy,0.002872189556543493,0.006964655675065441,0.030864460228360834,0.0,0.019125032323039862,0.005294538516575244,0.08595949686136568,0.1460748627096177,0.0038410286630459595,0.01023082588007171,0.4740230723633213
Financials,0.15537310578899566,0.13173731809892442,0.08559701079670949,0.11427267446684923,0.0,0.1188725395038242,0.21379517804585402,0.11658636143665706,0.3433115135298708,0.16347005016228977,0.12491906433815148
Health Care,0.0,0.00013398340094532732,0.0,0.0,0.0,0.0,6.153067817062457e-05,0.0,0.0,0.0,0.0
Industrials,0.2254489539015568,0.2991495775801109,0.4154967039607795,0.45474234503360716,0.37381425480082203,0.26942578716465426,0.0,0.4104693121804448,0.47437810020828797,0.4435234111348877,0.1946468469290046
Materials,0.03267364596778049,0.0963898916967509,0.19676439171159976,0.2842876109866401,0.013995876260598554,0.12503452598184128,0.27723672561077745,0.0,0.022345389969261154,0.04491297846964103,0.013496876567415987
Real Estate,0.19706566598148414,0.23836949644571812,0.10153673306976368,0.01701933449506265,0.2509713924085088,0.26692771451866065,0.10182244753085365,0.03785742840911482,0.0,0.1414536897674384,0.06746614381469153
Technology,0.14258967127173064,0.07396814172466411,0.030621885359968338,0.035067629242386524,0.15629040379982853,0.043468904430972996,0.10130741296542546,0.04826993077619038,0.011325769842660281,0.0,0.06875199489307374
Utilities,0.04033812961103941,0.04725892292232684,0.08340319773256334,0.07023483528337897,0.023425697837418512,0.024487101980598894,0.030167693887155015,0.08964904159740779,0.03876333211227377,0.028517869230902746,0.0
