YearMonth,Sector,Ticker,Risk_Reversal_25,ATM_IV,HHI,Supplier_HHI,Hub_Shock,tot_return_index_gross_dvds,VIX,Term_Spread,Credit_Spread
2005-01,Communication,XLC US Equity,,,0.1506350821483534,0.0992313938766084,0,,12.82,0.9999999999999996,0.6599999999999993
2005-02,Communication,XLC US Equity,,,0.1492863959600073,0.0973651287899629,0,,12.08,0.79,0.6200000000000001
2005-03,Communication,XLC US Equity,,,0.1532204018565146,0.0971096574617097,0,,14.02,0.77,0.6599999999999993
2005-04,Communication,XLC US Equity,,,0.1515317397205839,0.0996807873152383,0,,15.31,0.69,0.7199999999999998
2005-05,Communication,XLC US Equity,,,0.1501838241572816,0.0979205106515397,0,,13.29,0.4999999999999995,0.8599999999999994
2005-06,Communication,XLC US Equity,,,0.1506939434315682,0.0954436108395532,0,,12.04,0.3599999999999999,0.9000000000000004
2005-07,Communication,XLC US Equity,,,0.1472890838891786,0.0924585816731598,0,,11.57,0.3099999999999996,0.8900000000000006
2005-08,Communication,XLC US Equity,,,0.1471138787416556,0.0923200009985766,0,,12.6,0.2199999999999997,0.8700000000000001
2005-09,Communication,XLC US Equity,,,0.1501024092303051,0.0904403828898254,0,,11.92,0.25,0.9000000000000004
2005-10,Communication,XLC US Equity,,,0.1554881311425761,0.0912932507662566,0,,15.32,0.1900000000000004,0.9500000000000002
2005-11,Communication,XLC US Equity,,,0.159605098979512,0.090754593155561,0,,12.06,0.1200000000000001,0.9699999999999998
2005-12,Communication,XLC US Equity,,,0.1621888211492881,0.0892312108578098,0,,12.07,0.0699999999999994,0.9500000000000002
2006-01,Communication,XLC US Equity,,,0.1621062927439603,0.0846725409527157,0,,12.95,0.0199999999999995,0.9500000000000002
2006-02,Communication,XLC US Equity,,,0.1568135231443052,0.0834866380842879,1,,12.34,-0.0999999999999996,0.92
2006-03,Communication,XLC US Equity,,,0.1580833873860258,0.0819896757735479,0,,11.39,-0.0100000000000006,0.8799999999999999
2006-04,Communication,XLC US Equity,,,0.1589208905602138,0.0799018198644123,0,,11.59,0.1000000000000005,0.8399999999999999
2006-05,Communication,XLC US Equity,,,0.1536107064355661,0.0806246497693297,0,,16.44,0.1400000000000005,0.7999999999999998
2006-06,Communication,XLC US Equity,,,0.1581664891906384,0.0791339043368533,0,,13.08,-0.0099999999999997,0.8900000000000006
2006-07,Communication,XLC US Equity,,,0.1559631675146831,0.0811933054805003,0,,14.95,-0.0300000000000002,0.91
2006-08,Communication,XLC US Equity,,,0.1557727127530034,0.0818939896158744,0,,12.31,-0.0200000000000004,0.91
2006-09,Communication,XLC US Equity,,,0.1556204484922941,0.0818893078532464,0,,11.98,-0.0499999999999998,0.92
2006-10,Communication,XLC US Equity,,,0.1593880674354238,0.0810987833869458,0,,11.1,-0.0699999999999994,0.91
2006-11,Communication,XLC US Equity,,,0.1591827569268228,0.0797797865976604,0,,10.91,-0.1400000000000005,0.8700000000000001
2006-12,Communication,XLC US Equity,,,0.1573801952794077,0.0820112880771074,0,,11.56,-0.1100000000000003,0.8999999999999995
2007-01,Communication,XLC US Equity,,,0.1742589445921433,0.08052791342003,0,,10.42,-0.1200000000000001,0.9399999999999996
2007-02,Communication,XLC US Equity,,,0.1759724277704345,0.0787983284245731,0,,15.42,-0.1299999999999999,0.8900000000000006
2007-03,Communication,XLC US Equity,,,0.1796778652234199,0.0782080415212042,0,,14.64,-0.0100000000000006,0.9699999999999998
2007-04,Communication,XLC US Equity,,,0.1734314336136933,0.0781621504575798,0,,14.22,0.0200000000000004,0.92
2007-05,Communication,XLC US Equity,,,0.1740195973054346,0.0766343712182633,0,,13.05,-0.0199999999999995,0.92
2007-06,Communication,XLC US Equity,,,0.1756143273935412,0.0764602149475938,0,,16.23,0.1199999999999992,0.91
2007-07,Communication,XLC US Equity,,,0.1731982324508369,0.0774225321202296,0,,23.52,0.1799999999999997,0.92
2007-08,Communication,XLC US Equity,,,0.1746567399206556,0.0772889227891954,1,,23.38,0.3600000000000003,0.8600000000000003
2007-09,Communication,XLC US Equity,,,0.1782168414040334,0.0776573236243308,0,,18.0,0.5099999999999998,0.8499999999999996
