secid,date,days,impl_volatility,delta,cp_flag,cusip,ticker,index_flag
110012,2021-07-21,30,0.198187,0.511294,C,81369Y60,XLF,0
110013,2020-03-04,30,0.289517,-0.480689,P,81369Y70,XLI,0
110014,2008-10-09,30,0.630151,0.535886,C,81369Y80,XLK,0
110007,2017-06-20,30,0.124315,0.507105,C,81369Y10,XLB,0
208181,2023-04-05,30,0.237049,-0.493289,P,81369Y86,XLRE,0
110012,2007-07-09,30,0.167699,0.509408,C,81369Y60,XLF,0
110014,2016-03-14,30,0.172203,0.509192,C,81369Y80,XLK,0
213084,2020-02-28,30,0.433195,-0.469328,P,81369Y85,XLC,0
110015,2013-09-19,30,0.13861,0.51918,C,81369Y88,XLU,0
110013,2008-11-14,30,0.587856,0.533318,C,81369Y70,XLI,0
110014,2017-10-13,30,0.117685,0.506412,C,81369Y80,XLK,0
110012,2019-11-08,30,0.138747,0.507363,C,81369Y60,XLF,0
110009,2017-03-30,30,0.096134,0.507052,C,81369Y30,XLP,0
110010,2006-05-09,30,0.112557,0.505844,C,81369Y40,XLY,0
110009,2012-05-31,30,0.149138,0.571599,C,81369Y30,XLP,0
110007,2011-02-14,30,0.199688,-0.488404,P,81369Y10,XLB,0
213084,2020-08-24,30,0.227548,0.52715,C,81369Y85,XLC,0
110007,2023-06-29,30,0.148368,-0.505909,P,81369Y10,XLB,0
110013,2014-05-13,30,0.123274,0.507046,C,81369Y70,XLI,0
110014,2009-06-30,30,0.244305,-0.484687,P,81369Y80,XLK,0
110013,2005-10-28,30,0.135754,0.507368,C,81369Y70,XLI,0
110012,2016-02-12,30,0.311409,0.519184,C,81369Y60,XLF,0
110009,2023-08-09,30,0.109852,-0.517135,P,81369Y30,XLP,0
110010,2012-05-01,30,0.155116,-0.490701,P,81369Y40,XLY,0
110014,2012-11-14,30,0.182679,-0.48945,P,81369Y80,XLK,0
110010,2024-06-25,30,0.156623,0.508842,C,81369Y40,XLY,0
110015,2011-03-09,30,0.169937,0.615977,C,81369Y88,XLU,0
110008,2015-02-12,30,0.14994,0.509271,C,81369Y20,XLV,0
110013,2016-05-12,30,0.149304,-0.49101,P,81369Y70,XLI,0
110015,2016-09-07,30,0.148765,-0.48709,P,81369Y88,XLU,0
110013,2017-12-21,30,0.105729,0.506032,C,81369Y70,XLI,0
110011,2025-05-15,30,0.221088,-0.493616,P,81369Y50,XLE,0
110014,2010-09-20,30,0.181161,0.517168,C,81369Y80,XLK,0
110013,2009-06-23,30,0.348456,-0.48029,P,81369Y70,XLI,0
110007,2018-09-21,30,0.125494,0.506867,C,81369Y10,XLB,0
110007,2007-12-21,30,0.238594,-0.493706,P,81369Y10,XLB,0
110007,2022-02-15,30,0.239365,-0.485632,P,81369Y10,XLB,0
110010,2013-08-16,30,0.145831,-0.491913,P,81369Y40,XLY,0
110010,2008-06-04,30,0.230204,-0.483197,P,81369Y40,XLY,0
110014,2022-01-11,30,0.233418,0.513904,C,81369Y80,XLK,0
110010,2005-06-23,30,0.117944,-0.500629,P,81369Y40,XLY,0
110009,2012-07-03,30,0.101157,0.508391,C,81369Y30,XLP,0
110014,2019-06-19,30,0.186407,0.508824,C,81369Y80,XLK,0
110011,2020-11-27,30,0.403502,-0.469387,P,81369Y50,XLE,0
110010,2011-12-19,30,0.231984,0.513521,C,81369Y40,XLY,0
110012,2005-02-24,30,0.130005,-0.492325,P,81369Y60,XLF,0
110014,2005-09-29,30,0.126214,-0.505445,P,81369Y80,XLK,0
110008,2007-02-06,30,0.094888,-0.527317,P,81369Y20,XLV,0
110012,2021-09-22,30,0.212893,0.512269,C,81369Y60,XLF,0
110014,2006-08-25,30,0.145542,0.512257,C,81369Y80,XLK,0
