held_out,const__coef,const__t,HHI__coef,HHI__t,HHI_x_Consumer Discretionary__coef,HHI_x_Consumer Discretionary__t,HHI_x_Consumer Staples__coef,HHI_x_Consumer Staples__t,HHI_x_Energy__coef,HHI_x_Energy__t,HHI_x_Financials__coef,HHI_x_Financials__t,HHI_x_Health Care__coef,HHI_x_Health Care__t,HHI_x_Industrials__coef,HHI_x_Industrials__t,HHI_x_Materials__coef,HHI_x_Materials__t,HHI_x_Real Estate__coef,HHI_x_Real Estate__t,HHI_x_Technology__coef,HHI_x_Technology__t,HHI_x_Utilities__coef,HHI_x_Utilities__t,Supplier_HHI__coef,Supplier_HHI__t,ATM_IV__coef,ATM_IV__t,tot_return_index_gross_dvds__coef,tot_return_index_gross_dvds__t
2005,-0.015589231135559543,-3.0886809583109236,-0.29860978976767677,-6.028145894100989,0.2615664918823358,4.651554438496995,0.34008684502738956,6.379815901702203,0.32358592995911784,5.764610062554681,0.2653581012849763,1.5884783782543823,0.4166322199566984,3.6495749774367265,0.3310668176818226,6.355576846095015,0.2727504383916735,5.594570682142741,0.723761583416656,1.8302965014334942,0.2728349435541602,4.552524336071383,1.790972719469377,10.116178366722124,-0.06551156872006733,-3.1217141113328566,0.013423854110912492,0.9721026280251702,6.21539513625277e-05,1.2576688846886717
2006,-0.012880783616371598,-2.5356366137953295,-0.2778838025398002,-5.030450967548761,0.2458558247791524,4.331538838806014,0.291107517615122,4.019686242313789,0.2978384194462815,4.584312461645407,0.32275739736692477,1.8456646122149798,0.3408547969225516,3.1017297075535346,0.33245568783160373,4.978916946039827,0.28339261952657085,4.465210057488454,0.6797196580432918,1.729892811597668,0.25805064854295195,3.63308481048345,1.445667212829898,9.548732464536872,-0.06925690882282774,-2.76510008993976,0.010848204591004192,0.7951658767868806,6.166952366730693e-05,1.5057333984945487
2007,-0.014532479421850914,-3.559800005475658,-0.2778840887436966,-5.169032709877725,0.2417692397749452,4.410664029235354,0.3023155260981008,4.468351201681786,0.2982513753657997,4.773931606482378,0.4543074743163215,2.4951366528648635,0.39939539845125205,4.438379171108987,0.3219098759684144,5.030643908547029,0.27301586809595463,4.503725813277483,0.6410979909180778,1.6399535859611207,0.2746489620221845,4.060835806162431,1.0862677903970428,4.195606698898334,-0.037740742407627426,-1.5909024663523201,0.012820616260683503,0.8218801979159741,6.750869077009625e-05,1.3589758425845873
2008,-0.010108525653325156,-2.9459061643389095,-0.2390155397982767,-3.9866620485365,0.19462284258679924,3.034347878815743,0.31101753341845784,5.357686414412657,0.25583032152667623,4.210440681795361,0.3964181130125713,3.064075082299807,0.2594420334242743,3.377522390237987,0.24166139425083205,4.128377174175274,0.20961235024842526,3.67433295326169,0.9144377778145679,2.461493998666675,0.20220059845107555,3.1354508319471353,1.6822795738526803,10.819091817591195,-0.06160495825019644,-4.07474990823017,-0.01042050658192535,-1.021591978112924,3.836847239161139e-05,1.3964029584558062
2009,-0.020600018334187516,-4.809785703907366,-0.3684981495984023,-6.464601568761596,0.33348665535414646,5.50356409529829,0.42654217759828106,7.709121381643456,0.37297212895699067,6.190970034074609,0.6868043385962465,4.635858029440916,0.4855941210578341,5.803658183336548,0.40530767051743977,7.078239249824327,0.3712868126754413,6.447810034640944,0.4796479404811254,1.2958704468714066,0.34069569167339114,4.978079348354581,1.879795818776805,11.428651275753586,-0.07983506552973912,-4.981132324594088,0.04795212753352369,3.3575442045651394,4.3364258723498436e-05,1.210509679106428
2010,-0.016348498831947906,-3.4097229429089855,-0.29165361447154015,-5.673310135388454,0.25106526210363844,4.526344840652583,0.3355697032789377,5.778752656802442,0.31077216491539583,5.370352702472652,0.37136355568273743,2.2391464687377436,0.39690382145652,4.259250673848484,0.32408374754829566,5.698667786784293,0.2861933304849508,4.96898656733187,0.7032971767449575,1.7819256000191512,0.26704775898785266,4.015555803555088,1.877983119627834,12.12980251463588,-0.06992395627181852,-3.5639364017676716,0.013106616909187987,0.8770659262090305,6.505417506566597e-05,1.4582873584606488
2011,-0.014807951173380853,-3.1113090564746098,-0.28803536541124364,-5.581538880686926,0.25292767679182837,4.62354095778215,0.3352791762332418,5.829956728595509,0.30613073197808377,5.322108868809961,0.39754853828570214,2.513834737591384,0.38709536840887576,4.393643313098983,0.32265620296754755,5.726299146730048,0.28276882629770855,4.9170456490244545,0.6798439453808023,1.7351177937632072,0.25672635330553256,3.993423927649701,1.614354148420076,10.156824244400058,-0.06613540674659875,-3.630029273290729,0.012993439256427293,0.8795297735469138,6.490501068177532e-05,1.5829237373404668
2012,-0.014683632921757455,-3.355419775699282,-0.2865394804838632,-5.587317902258211,0.24895282437398397,4.530487650842255,0.33172902320666314,6.0021245643988,0.3053897850943845,5.41238523047682,0.4118926445843604,2.843211157180069,0.3897041271075272,4.463164479332653,0.31912194432065283,5.902910812022994,0.27695478353651704,4.988077831738748,0.7040973204576679,1.7878865386806257,0.17090707577743208,2.251784474958748,1.7524016297705176,9.224706276286307,-0.06684718576740598,-3.8650069910521965,0.012064024267009912,0.8593600297886362,6.273427412800873e-05,1.463515635378999
2013,-0.015418647248668212,-3.4297317753475536,-0.2864598553628711,-5.503358272438793,0.25144592069158983,4.495552505831512,0.3309775949049191,5.852438424554774,0.3017752930508304,5.141987757060067,0.3954282157279396,2.4384353989686125,0.38398060394154443,4.373220874006918,0.32019019303919377,5.711795646472227,0.2825150218644237,4.863665094233181,0.6862945375359976,1.7656046049112741,0.26357536103328627,4.127421961774364,1.7366959347361826,10.236755920918329,-0.06818811600021936,-3.5095607277355154,0.011978546860773575,0.8739120995087996,6.762669697763582e-05,1.5726859732162386
2014,-0.01444484435411912,-3.0422354118762804,-0.2837733796892065,-5.333132382923328,0.2556004820941826,4.486369332174593,0.3198114008583909,5.434364237382794,0.3051972415660733,5.067025132604884,0.38814248802853474,2.330755331683194,0.35097230384700573,4.095972221527212,0.3058618445538095,5.299189541996137,0.28069134507819604,4.772474565116639,0.7072556729463612,1.7907110699892452,0.2619654559576297,3.9559689727039764,1.6983129815556361,10.87401732951724,-0.0662699515034234,-3.3984127545058276,0.011554923963775844,0.778340565942836,5.124149708929255e-05,1.2523092662757165
